id,original_text,summary,original_length,summary_length,compression_ratio,orig_word_count,orig_sentence_count,orig_avg_sentence_length,orig_avg_word_length,orig_unique_word_ratio,orig_content_word_ratio,orig_punctuation_count,orig_capital_letter_ratio,summ_word_count,summ_sentence_count,summ_avg_sentence_length,summ_avg_word_length,summ_unique_word_ratio,summ_content_word_ratio,summ_punctuation_count,summ_capital_letter_ratio
10,"The Pythagorean theorem is a cornerstone of Euclidean geometry, precisely stating that in any right-angled triangle, the area of the square whose side is the hypotenuse (the side positioned opposite the right angle) is exactly equal to the sum of the areas of the squares whose sides are the other two perpendicular legs (a2  b2  c2). This ancient Greek principle is not only foundational for subsequent study in trigonometry and geometry but also finds indispensable practical applications in modern surveying, architectural engineering, and the construction of two-dimensional digital coordinate systems.","The Pythagorean theorem is a cornerstone of Euclidean geometry, precisely stating that in any right-angled triangle, the area of the square whose side is the hypotenuse (the side positioned opposite the right angle) is exactly equal to the sum of the areas of the squares whose sides are the other two perpendicular legs (a2  b2  c2) This ancient Greek principle is not only foundational for subsequent study in trigonometry and geometry but also finds indispensable practical applications in modern surveying, architectural engineering, and the construction of two-dimensional digital coordinate systems",90,90,1.0,100,2,50.0,5.15,0.71,0.52,6,0.0082508250825082,98,1,98.0,5.23469387755102,0.7142857142857143,0.5306122448979592,4,0.0082781456953642
11,"Calculus is a profound branch of mathematics centrally concerned with the quantitative study of continuous change, a concept essential for accurately describing the dynamics of the physical and economic world. It is traditionally subdivided into differential calculus, which rigorously focuses on instantaneous rates of change and determining the slopes of curves, and integral calculus, which focuses on the accumulation of quantities and the precise calculation of areas under curves. Developed by Isaac Newton and Gottfried Leibniz, calculus remains the indispensable mathematical language for nearly all modern physics, advanced engineering, and complex economic modeling.","Calculus is a profound branch of mathematics centrally concerned with the quantitative study of continuous change, a concept essential for accurately describing the dynamics of the physical and economic world It is traditionally subdivided into differential calculus, which rigorously focuses on instantaneous rates of change and determining the slopes of curves, and integral calculus, which focuses on the accumulation of quantities and the precise calculation of areas under curves Developed by Isaac Newton and Gottfried Leibniz, calculus remains the indispensable mathematical language for nearly all modern physics, advanced engineering, and complex economic modeling",93,93,1.0,103,3,34.333333333333336,5.669902912621359,0.6407766990291263,0.5533980582524272,10,0.0103550295857988,100,1,100.0,5.81,0.65,0.57,7,0.0104011887072808
12,"Statistics is the rigorous scientific discipline focused on the systematic collection, efficient organization, in-depth analysis, careful interpretation, and effective presentation of data. It provides the essential methodology for reasoning and drawing conclusions under conditions of inherent uncertainty, allowing professionals across various fields to make informed decisions and predictions. From designing unbiased medical trials and analyzing complex market research to creating predictive climate models, statistical analysis is crucial for discerning genuine trends, measuring risk, and providing objective, evidence-based insights.","Statistics is the rigorous scientific discipline focused on the systematic collection, efficient organization, in-depth analysis, careful interpretation, and effective presentation of data It provides the essential methodology for reasoning and drawing conclusions under conditions of inherent uncertainty, allowing professionals across various fields to make informed decisions and predictions From designing unbiased medical trials and analyzing complex market research to creating predictive climate models, statistical analysis is crucial for discerning genuine trends, measuring risk, and providing objective, evidence-based insights",78,78,1.0,90,3,30.0,6.266666666666667,0.7666666666666667,0.6222222222222222,12,0.0046801872074883,87,1,87.0,6.448275862068965,0.7816091954022989,0.6436781609195402,9,0.0047021943573667
13,"The binary system is a numerical system that operates exclusively using only two discrete symbols, typically represented as 0 and 1. This base-2 system is not merely a mathematical curiosity; it is the fundamental, underlying language of all modern computers and digital electronic devices. Every operation executed by a computer, from displaying text and images on a screen to running highly complex software programs, is fundamentally carried out through the rapid manipulation and storage of these binary digits, universally referred to as bits.","The binary system is a numerical system that operates exclusively using only two discrete symbols, typically represented as 0 and 1 This base-2 system is not merely a mathematical curiosity; it is the fundamental, underlying language of all modern computers and digital electronic devices Every operation executed by a computer, from displaying text and images on a screen to running highly complex software programs, is fundamentally carried out through the rapid manipulation and storage of these binary digits, universally referred to as bits",83,83,1.0,91,3,30.333333333333332,5.12087912087912,0.7582417582417582,0.5274725274725275,9,0.0054744525547445,89,1,89.0,5.202247191011236,0.7640449438202247,0.550561797752809,6,0.0055045871559633
14,"Algebra is a foundational branch of mathematics dealing with abstract symbols and the established rules for methodically manipulating those symbols within equations. These symbols, often represented by letters like x or y, are used to represent quantities without fixed numerical values, commonly referred to as variables. This powerful abstraction allows mathematicians and scientists to express and analyze general relationships, describe universal laws, and efficiently solve a broad range of complex problems by systematically determining the values of unknown quantities within a given system.","Algebra is a foundational branch of mathematics dealing with abstract symbols and the established rules for methodically manipulating those symbols within equations These symbols, often represented by letters like x or y, are used to represent quantities without fixed numerical values, commonly referred to as variables This powerful abstraction allows mathematicians and scientists to express and analyze general relationships, describe universal laws, and efficiently solve a broad range of complex problems by systematically determining the values of unknown quantities within a given system",83,83,1.0,91,3,30.333333333333332,5.670329670329671,0.7582417582417582,0.6153846153846154,8,0.0050167224080267,88,1,88.0,5.829545454545454,0.7727272727272727,0.6363636363636364,5,0.0050420168067226
15,"A prime number is formally defined as a natural number greater than 1 that possesses no positive integer divisors other than the number 1 and itself. The infinite sequence of prime numbers begins with 2, 3, 5, 7, and 11, forming the fundamental multiplicative building blocks of all other composite integers. Because they are only divisible by themselves, prime numbers are mathematically unique and are critically important in the field of modern cryptography, where their properties are leveraged to ensure secure data encryption and transmission across the internet.","A prime number is formally defined as a natural number greater than 1 that possesses no positive integer divisors other than the number 1 and itself The infinite sequence of prime numbers begins with 2, 3, 5, 7, and 11, forming the fundamental multiplicative building blocks of all other composite integers Because they are only divisible by themselves, prime numbers are mathematically unique and are critically important in the field of modern cryptography, where their properties are leveraged to ensure secure data encryption and transmission across the internet",88,88,1.0,98,3,32.666666666666664,4.918367346938775,0.7040816326530612,0.5102040816326531,10,0.0052724077328646,95,1,95.0,5.042105263157895,0.7157894736842105,0.5263157894736842,7,0.0053003533568904
16,"Euclidean geometry is a comprehensive mathematical system meticulously attributed to the ancient Greek mathematician Euclid, whose treatise Elements is one of the most influential works in the history of mathematics. This system is logically based on a small set of axioms and theorems, and systematically studies the properties of shapes, sizes, positions of figures, and the structure of space. It remains the unwavering theoretical foundation for classical physics, land surveying, and the traditional principles of architectural and mechanical design.","Euclidean geometry is a comprehensive mathematical system meticulously attributed to the ancient Greek mathematician Euclid, whose treatise Elements is one of the most influential works in the history of mathematics This system is logically based on a small set of axioms and theorems, and systematically studies the properties of shapes, sizes, positions of figures, and the structure of space It remains the unwavering theoretical foundation for classical physics, land surveying, and the traditional principles of architectural and mechanical design",79,79,1.0,89,3,29.666666666666668,5.359550561797753,0.6853932584269663,0.5393258426966292,10,0.0108108108108108,86,1,86.0,5.511627906976744,0.6976744186046512,0.5581395348837209,7,0.0108695652173913
17,"The Fibonacci sequence is a fascinating series of numbers where each number in the sequence is calculated as the precise sum of the two preceding ones, typically commencing with 0 and 1 (i.e., 0, 1, 1, 2, 3, 5, 8, 13, 21, ...). This specific numerical relationship appears with surprising regularity and beauty throughout the natural world, manifesting in patterns from the spiral arrangement of seeds in a sunflower head to the branching structure of certain trees and the chambers of a nautilus shell, highlighting underlying mathematical order in biology.","The Fibonacci sequence is a fascinating series of numbers where each number in the sequence is calculated as the precise sum of the two preceding ones, typically commencing with 0 and 1 (i , 0, 1, 1, 2, 3, 5, 8, 13, 21, This specific numerical relationship appears with surprising regularity and beauty throughout the natural world, manifesting in patterns from the spiral arrangement of seeds in a sunflower head to the branching structure of certain trees and the chambers of a nautilus shell, highlighting underlying mathematical order in biology",90,90,1.0,107,2,53.5,4.383177570093458,0.6542056074766355,0.514018691588785,20,0.0053763440860215,103,1,103.0,4.466019417475728,0.6504854368932039,0.5339805825242718,13,0.0054644808743169
18,"Beginning in Great Britain during the late 18th century, the Industrial Revolution marked a profound turning point in human history, characterized by a rapid shift from agrarian and simple handicraft economies to sophisticated industrial and machine manufacturing systems. Revolutionary innovations like the practical steam engine, the efficient power loom, and new methods of iron production dramatically increased human productivity and output. This transformation led to monumental social upheaval, rapid urbanization, the emergence of the factory system, and the eventual development of modern capitalist economic structures worldwide.","Beginning in Great Britain during the late 18th century, the Industrial Revolution marked a profound turning point in human history, characterized by a rapid shift from agrarian and simple handicraft economies to sophisticated industrial and machine manufacturing systems Revolutionary innovations like the practical steam engine, the efficient power loom, and new methods of iron production dramatically increased human productivity and output This transformation led to monumental social upheaval, rapid urbanization, the emergence of the factory system, and the eventual development of modern capitalist economic structures worldwide",86,86,1.0,96,3,32.0,5.770833333333333,0.7291666666666666,0.6354166666666666,10,0.0109546165884194,93,1,93.0,5.924731182795699,0.7419354838709677,0.6559139784946236,7,0.0110062893081761
19,"Roman law, codified most famously in the Twelve Tables and later in the exhaustive Corpus Juris Civilis (Justinian Code), stands as the enduring legal foundation for many modern Western and continental European legal systems. Key principles established by the Romans include the fundamental distinction between public and private law, the concept of stare decisis (precedent), and the crucial idea that all citizens are conceptually equal under the written law, even though its practical application in antiquity was often stratified by social class and wealth.Democracy is a system of governance where the supreme power is constitutionally vested in the citizens, who then exercise it either directly or indirectly through a system of freely elected representatives. Originating as a direct form of self-rule in ancient Athens, the concept was refined through the Enlightenment to secure fundamental individual rights and universal freedoms. Today, functioning democratic governance universally emphasizes the principle of majority rule tempered by the robust protection of minority rights, constitutional accountability, and free and fair periodic elections.","Roman law, codified most famously in the Twelve Tables and later in the exhaustive Corpus Juris Civilis (Justinian Code), stands as the enduring legal foundation for many modern Western and continental European legal systems Key principles established by the Romans include the fundamental distinction between public and private law, the concept of stare decisis (precedent), and the crucial idea that all citizens are conceptually equal under the written law, even though its practical application in antiquity was often stratified by social class and wealth",166,84,0.5060240963855421,184,4,46.0,5.407608695652174,0.6739130434782609,0.5597826086956522,15,0.0146551724137931,93,1,93.0,5.118279569892473,0.7526881720430108,0.5913978494623656,5,0.0214669051878354
20,"The Cold War, spanning from the end of World War II in 1945 until the dissolution of the Soviet Union in 1991, was a decades-long period of intense geopolitical tension between two global superpowers: the democratic, capitalist United States and the communist Soviet Union. The conflict was primarily characterized by a nuclear arms race, intense ideological battles, espionage, and devastating proxy wars fought in developing nations. Although direct military confrontation between the two main antagonists was carefully avoided, the conflicts pervasive shadow profoundly influenced global politics, economics, and culture for nearly fifty years.","The Cold War, spanning from the end of World War II in 1945 until the dissolution of the Soviet Union in 1991, was a decades-long period of intense geopolitical tension between two global superpowers: the democratic, capitalist United States and the communist Soviet Union The conflict was primarily characterized by a nuclear arms race, intense ideological battles, espionage, and devastating proxy wars fought in developing nations Although direct military confrontation between the two main antagonists was carefully avoided, the conflicts pervasive shadow profoundly influenced global politics, economics, and culture for nearly fifty years",93,93,1.0,106,3,35.333333333333336,5.235849056603773,0.6792452830188679,0.5943396226415094,13,0.0231839258114374,103,1,103.0,5.359223300970874,0.6893203883495146,0.6116504854368932,10,0.0232919254658385
21,"The Silk Road was not a single paved road but a vast, interconnected historical network of Eurasian trade routes that effectively connected the diverse cultures of the East and West, stretching from imperial China to the Mediterranean Sea. Active for over 1,500 years, this immense network was essential for the commercial exchange of luxury goods such as silk, spices, tea, and precious metals. Perhaps more importantly, it served as a vital conduit for the peaceful, yet powerful, transmission of ideas, transformative technologies, religious beliefs, and artistic styles across diverse continents.","The Silk Road was not a single paved road but a vast, interconnected historical network of Eurasian trade routes that effectively connected the diverse cultures of the East and West, stretching from imperial China to the Mediterranean Sea Active for over 1,500 years, this immense network was essential for the commercial exchange of luxury goods such as silk, spices, tea, and precious metals Perhaps more importantly, it served as a vital conduit for the peaceful, yet powerful, transmission of ideas, transformative technologies, religious beliefs, and artistic styles across diverse continents",90,90,1.0,105,3,35.0,4.866666666666666,0.6857142857142857,0.5333333333333333,16,0.0183333333333333,102,1,102.0,4.980392156862745,0.696078431372549,0.5490196078431373,13,0.0184254606365159
22,"The Renaissance, a term meaning rebirth in French, was a fervent and transformative period of European cultural, artistic, political, and economic rediscovery following the decline of the Middle Ages. Spanning approximately from the 14th to the 16th century, the era was universally characterized by a deep, renewed interest in the classical philosophy, literature, and art of ancient Greece and Rome. This humanistic movement celebrated human potential and intellect, exemplified by towering figures like Leonardo da Vinci, Michelangelo, and Raphael, fundamentally establishing the intellectual foundations of the modern world.","The Renaissance, a term meaning rebirth in French, was a fervent and transformative period of European cultural, artistic, political, and economic rediscovery following the decline of the Middle Ages Spanning approximately from the 14th to the 16th century, the era was universally characterized by a deep, renewed interest in the classical philosophy, literature, and art of ancient Greece and Rome This humanistic movement celebrated human potential and intellect, exemplified by towering figures like Leonardo da Vinci, Michelangelo, and Raphael, fundamentally establishing the intellectual foundations of the modern world",88,88,1.0,104,3,34.666666666666664,5.201923076923077,0.6634615384615384,0.5480769230769231,16,0.0222929936305732,101,1,101.0,5.326732673267327,0.6732673267326733,0.5643564356435643,13,0.0224
23,"Signed by a reluctant King John of England in 1215, the Magna Carta (Great Charter) is an epoch-making document in the gradual development of constitutional law and democratic rights. It established the groundbreaking principle that everyone, including the sovereign monarch, was fundamentally subject to the rule of law, not arbitrary power. Although originally intended to protect the rights of barons, its core clauses influenced the development of democratic thought, fundamental civil liberties, and the principle of due process in the United States Constitution and numerous other political documents worldwide.","Signed by a reluctant King John of England in 1215, the Magna Carta (Great Charter) is an epoch-making document in the gradual development of constitutional law and democratic rights It established the groundbreaking principle that everyone, including the sovereign monarch, was fundamentally subject to the rule of law, not arbitrary power Although originally intended to protect the rights of barons, its core clauses influenced the development of democratic thought, fundamental civil liberties, and the principle of due process in the United States Constitution and numerous other political documents worldwide",89,89,1.0,101,3,33.666666666666664,5.237623762376238,0.693069306930693,0.5445544554455446,10,0.0210696920583468,98,1,98.0,5.36734693877551,0.7040816326530612,0.5612244897959183,7,0.021172638436482
24,"The American Civil Rights Movement, lasting roughly from 1954 to 1968, was a decades-long struggle to abolish institutionalized racial segregation, end systemic discrimination, and restore full voting rights for African Americans in the United States. Led by influential figures like Martin Luther King Jr., the movement strategically utilized nonviolent civil disobedience, mass protests, and sustained legal challenges to achieve landmark legislative successes. The resulting Civil Rights Act of 1964 and the Voting Rights Act of 1965 dismantled segregationist laws and reshaped the social and political landscape of the nation.","The American Civil Rights Movement, lasting roughly from 1954 to 1968, was a decades-long struggle to abolish institutionalized racial segregation, end systemic discrimination, and restore full voting rights for African Americans in the United States Led by influential figures like Martin Luther King Jr",89,44,0.4943820224719101,99,3,33.0,5.474747474747475,0.696969696969697,0.6363636363636364,11,0.0333333333333333,48,1,48.0,5.4375,0.875,0.6666666666666666,4,0.0460526315789473
25,"Economics is the rigorous social science that studies how human societies manage and utilize scarce resources to produce valuable commodities and efficiently distribute them among people with competing wants. Key foundational concepts include the interaction of supply and demand, which fundamentally determines market prices, and opportunity cost, which precisely measures the value of the next best alternative that must be foregone when a specific choice is made. These universal principles govern both individual consumer decisions and the large-scale policy choices made by national governments.","Economics is the rigorous social science that studies how human societies manage and utilize scarce resources to produce valuable commodities and efficiently distribute them among people with competing wants Key foundational concepts include the interaction of supply and demand, which fundamentally determines market prices, and opportunity cost, which precisely measures the value of the next best alternative that must be foregone when a specific choice is made These universal principles govern both individual consumer decisions and the large-scale policy choices made by national governments",84,84,1.0,90,3,30.0,5.7444444444444445,0.8111111111111111,0.6111111111111112,6,0.005,87,1,87.0,5.908045977011494,0.8275862068965517,0.632183908045977,3,0.0050251256281407
26,"Cultural anthropology is the expansive social science dedicated to the holistic study of human cultures, societies, and their subsequent development throughout history and across different geographical regions. Anthropologists systematically explore complex phenomena such as customs, core beliefs, languages, kinship systems, and social structures, often utilizing immersive fieldwork where they live within the communities they study. This insightful discipline provides crucial cross-cultural understanding, highlighting the immense diversity of human experience and challenging ethnocentric assumptions about human behavior and societal organization.","Cultural anthropology is the expansive social science dedicated to the holistic study of human cultures, societies, and their subsequent development throughout history and across different geographical regions Anthropologists systematically explore complex phenomena such as customs, core beliefs, languages, kinship systems, and social structures, often utilizing immersive fieldwork where they live within the communities they study This insightful discipline provides crucial cross-cultural understanding, highlighting the immense diversity of human experience and challenging ethnocentric assumptions about human behavior and societal organization",79,79,1.0,90,3,30.0,6.4,0.7555555555555555,0.6333333333333333,11,0.0045871559633027,87,1,87.0,6.586206896551724,0.7701149425287356,0.6551724137931034,8,0.0046082949308755
27,"A metaphor is a powerful figure of speech that directly compares two fundamentally unlike things without using explicit comparative terms such as like or as. Instead, a metaphor asserts that one thing is another, thereby creating an implicit equivalence or identity between the two distinct entities. This literary technique is essential in sophisticated literature, rhetoric, and poetry, allowing writers to convey complex, abstract ideas, evoke deeper emotional resonance, and establish original and unexpected connections for the reader.","A metaphor is a powerful figure of speech that directly compares two fundamentally unlike things without using explicit comparative terms such as like or as Instead, a metaphor asserts that one thing is another, thereby creating an implicit equivalence or identity between the two distinct entities This literary technique is essential in sophisticated literature, rhetoric, and poetry, allowing writers to convey complex, abstract ideas, evoke deeper emotional resonance, and establish original and unexpected connections for the reader",77,77,1.0,88,3,29.333333333333332,5.2727272727272725,0.7613636363636364,0.5909090909090909,11,0.0055555555555555,85,1,85.0,5.423529411764706,0.7764705882352941,0.611764705882353,8,0.0055865921787709
28,"Critical reading involves a rigorous process that extends far beyond merely understanding the literal words on a page; it requires the systematic analysis, informed interpretation, and careful evaluation of the entire text. This includes actively identifying the authors underlying purpose, meticulously assessing the credibility and relevance of the evidence presented, and recognizing any potential hidden assumptions or biases within the argument. Critical reading is an absolutely fundamental skill required for advanced academic success, complex professional analysis, and making informed, rational decisions as a responsible citizen.","Critical reading involves a rigorous process that extends far beyond merely understanding the literal words on a page; it requires the systematic analysis, informed interpretation, and careful evaluation of the entire text This includes actively identifying the authors underlying purpose, meticulously assessing the credibility and relevance of the evidence presented, and recognizing any potential hidden assumptions or biases within the argument Critical reading is an absolutely fundamental skill required for advanced academic success, complex professional analysis, and making informed, rational decisions as a responsible citizen",85,85,1.0,96,3,32.0,5.78125,0.75,0.6145833333333334,11,0.0046948356807511,93,1,93.0,5.935483870967742,0.7634408602150538,0.6344086021505376,8,0.0047169811320754
